system,cluster
Arneodo,0
ArnoldBeltramiChildress,0
BlinkingRotlet,0
Bouali2,0
CellularNeuralNetwork,0
Chua,0
Coullet,0
DequanLi,0
DoubleGyre,0
Duffing,0
FluidTrampoline,0
GenesioTesi,0
GuckenheimerHolmes,0
Hadley,0
HyperRossler,0
KawczynskiStrizhak,0
MultiChua,0
SprottD,0
SprottDelay,0
StickSlipOscillator,0
YuWang2,0
AnishchenkoAstakhov,1
BlinkingVortex,1
BurkeShaw,1
HyperLu,1
HyperPang,1
HyperXu,1
HyperYangChen,1
Laser,1
Lorenz,1
LuChenCheng,1
NewtonLiepnik,1
PanXuZhou,1
PehlivanWei,1
QiChen,1
SprottC,1
Tsucs2,1
VallisElNino,1
BelousovZhabotinsky,2
ChenLee,2
CoevolvingPredatorPrey,2
Dadras,2
ExcitableCell,2
ForcedBrusselator,2
HindmarshRose,2
HyperYan,2
ItikBanksTumor,2
LiuChen,2
Rucklidge,2
SprottB,2
SprottE,2
SprottTorus,2
WangSun,2
BeerRNN,3
DoublePendulum,3
HastingsPowell,3
JerkCircuit,3
Lorenz84,3
Lorenz96,3
LuChen,3
MackeyGlass,3
OscillatingFlow,3
PiecewiseCircuit,3
SprottF,3
SprottH,3
SprottL,3
SprottO,3
Thomas,3
ThomasLabyrinth,3
Torus,3
TurchinHanski,3
VossDelay,3
YuWang,3
Aizawa,4
CaTwoPlus,4
CaTwoPlusQuasiperiodic,4
Chen,4
CircadianRhythm,4
Finance,4
ForcedFitzHughNagumo,4
ForcedVanDerPol,4
Halvorsen,4
HyperLorenz,4
LorenzCoupled,4
LorenzStenflo,4
MacArthur,4
MooreSpiegel,4
RayleighBenard,4
Sakarya,4
SprottG,4
ArnoldWeb,5
BickleyJet,5
Blasius,5
CellCycle,5
Colpitts,5
HenonHeiles,5
Hopfield,5
IkedaDelay,5
IsothermalChemical,5
NoseHoover,5
NuclearQuadrupole,5
Rossler,5
SprottI,5
SprottJ,5
SprottJerk,5
SprottK,5
SprottM,5
SprottMore,5
SprottN,5
SprottP,5
SprottQ,5
SprottR,5
SprottS,5
WindmiReduced,5
Bouali,6
HyperBao,6
HyperCai,6
HyperJha,6
HyperQi,6
HyperWang,6
LorenzBounded,6
Qi,6
RabinovichFabrikant,6
RikitakeDynamo,6
SaltonSea,6
SanUmSrisuchinwong,6
ScrollDelay,6
ShimizuMorioka,6
SprottA,6
SwingingAtwood,6
ZhouChen,6
