system,cluster,status
Lorenz,1,assigned
Rossler,5,assigned
Halvorsen,4,assigned
NoseHoover,5,assigned
SprottA,6,assigned
SprottB,2,assigned
SprottC,1,assigned
SprottD,0,assigned
VallisElNino,1,assigned
RikitakeDynamo,6,assigned
Dadras,2,assigned
PehlivanWei,1,assigned
SprottTorus,2,assigned
SprottJerk,5,assigned
RabinovichFabrikant,6,assigned
SprottE,2,assigned
SprottF,3,assigned
SprottG,4,assigned
SprottH,3,assigned
Lorenz84,3,assigned
KawczynskiStrizhak,0,assigned
IsothermalChemical,5,assigned
Rucklidge,2,assigned
Sakarya,4,assigned
LiuChen,2,assigned
RayleighBenard,4,assigned
Finance,4,assigned
LuChenCheng,1,assigned
LuChen,3,assigned
QiChen,1,assigned
ZhouChen,6,assigned
BurkeShaw,1,assigned
Chen,4,assigned
ChenLee,2,assigned
WangSun,2,assigned
DequanLi,0,assigned
NewtonLiepnik,1,assigned
ShimizuMorioka,6,assigned
GenesioTesi,0,assigned
AtmosphericRegime,,not_in_2021_partition
Hadley,0,assigned
MooreSpiegel,4,assigned
Bouali2,0,assigned
SprottI,5,assigned
SprottJ,5,assigned
SprottK,5,assigned
SprottL,3,assigned
SprottM,5,assigned
SprottN,5,assigned
SprottO,3,assigned
SprottP,5,assigned
SprottQ,5,assigned
SprottR,5,assigned
SprottS,5,assigned
Arneodo,0,assigned
Coullet,0,assigned
Aizawa,4,assigned
HyperRossler,0,assigned
HyperLorenz,4,assigned
HyperCai,6,assigned
HyperBao,6,assigned
HyperJha,6,assigned
HyperQi,6,assigned
LorenzStenflo,4,assigned
HyperYangChen,1,assigned
HyperYan,2,assigned
HyperXu,1,assigned
HyperWang,6,assigned
HyperPang,1,assigned
HyperLu,1,assigned
HenonHeiles,5,assigned
